id,name,country_name
121,Premier League,Russia
122,FNL,Russia
267,PFL,Russia
1087,U21 Premier League,Russia
63,Primeria Liga,Portugal
100,Segunda Liga,Portugal
24,First Division A,Belgium
52,First Division B,Belgium
125,Premier League,Ukraine
233,Persha Liga,Ukraine
559,Druha Liga,Ukraine
1083,U21 League,Ukraine
19,Süper Lig,Turkey
97,1. Lig,Turkey
1403,U21 Süper Lig,Turkey
1,Eredivisie,Netherlands
5,Eerste Divisie,Netherlands
1484,Tweede Divisie,Netherlands
49,Bundesliga,Austria
50,2. Liga,Austria
107,Super League,Greece
30,Superliga,Denmark
39,1st Division,Denmark
1120,Reserve League,Denmark
1072,U19 Ligaen,Denmark
1189,U17 Ligaen,Denmark
27,Super League,Switzerland
99,Challenge League,Switzerland